level,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Math,Addition within 20,Easy,What is 6 + 3?,14,10,9,8,C,6 + 3 = 9. Count on from 6 by 3 more.
1,Math,Addition within 20,Medium,What is 5 + 7?,12,17,11,15,A,5 + 7 = 12. Count on from 5 by 7 more.
1,Math,Addition within 20,Hard,What is 2 + 2?,5,6,7,4,D,2 + 2 = 4. Count on from 2 by 2 more.
1,Math,Addition within 20,Easy,What is 7 + 9?,16,15,14,21,A,7 + 9 = 16. Count on from 7 by 9 more.
1,Math,Addition within 20,Medium,What is 2 + 5?,11,3,9,7,D,2 + 5 = 7. Count on from 2 by 5 more.
1,Math,Addition within 20,Hard,What is 2 + 1?,4,3,0,5,B,2 + 1 = 3. Count on from 2 by 1 more.
1,Math,Addition within 20,Easy,What is 10 + 1?,8,12,7,11,D,10 + 1 = 11. Count on from 10 by 1 more.
1,Math,Addition within 20,Medium,What is 10 + 3?,13,14,8,9,A,10 + 3 = 13. Count on from 10 by 3 more.
1,Math,Addition within 20,Hard,What is 7 + 6?,17,13,10,14,B,7 + 6 = 13. Count on from 7 by 6 more.
1,Math,Addition within 20,Easy,What is 8 + 7?,16,15,17,10,B,8 + 7 = 15. Count on from 8 by 7 more.
1,Math,Addition within 20,Medium,What is 10 + 1?,11,9,14,12,A,10 + 1 = 11. Count on from 10 by 1 more.
1,Math,Addition within 20,Hard,What is 7 + 5?,15,17,8,12,D,7 + 5 = 12. Count on from 7 by 5 more.
1,Math,Addition within 20,Easy,What is 9 + 9?,13,21,18,22,C,9 + 9 = 18. Count on from 9 by 9 more.
1,Math,Addition within 20,Medium,What is 10 + 1?,10,16,6,11,D,10 + 1 = 11. Count on from 10 by 1 more.
1,Math,Addition within 20,Hard,What is 9 + 5?,14,11,12,18,A,9 + 5 = 14. Count on from 9 by 5 more.
1,Math,Addition within 20,Easy,What is 2 + 3?,7,5,6,4,B,2 + 3 = 5. Count on from 2 by 3 more.
1,Math,Addition within 20,Medium,What is 5 + 5?,10,14,12,11,A,5 + 5 = 10. Count on from 5 by 5 more.
