level,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Reading,Phonics & Decoding,Easy,What does the word 'cat' mean?,dog,bird,fish,A small furry animal that meows,D,'cat' means: A small furry animal that meows.
1,Reading,Phonics & Decoding,Medium,What does the word 'sun' mean?,cloud,moon,rain,The star that gives us light and heat,D,'sun' means: The star that gives us light and heat.
1,Reading,Phonics & Decoding,Hard,What does the word 'run' mean?,walk,sleep,To move quickly on foot,eat,C,'run' means: To move quickly on foot.
1,Reading,Phonics & Decoding,Easy,What does the word 'big' mean?,short,tiny,Large in size,small,C,'big' means: Large in size.
1,Reading,Phonics & Decoding,Medium,What does the word 'happy' mean?,angry,tired,sad,Feeling glad or pleased,D,'happy' means: Feeling glad or pleased.
1,Reading,Phonics & Decoding,Hard,What does the word 'red' mean?,A bright color like a fire truck,blue,yellow,green,A,'red' means: A bright color like a fire truck.
1,Reading,Phonics & Decoding,Easy,What does the word 'hot' mean?,cool,warm,Having a high temperature,cold,C,'hot' means: Having a high temperature.
1,Reading,Phonics & Decoding,Medium,What does the word 'jump' mean?,lie,stand,sit,To spring off the ground,D,'jump' means: To spring off the ground.
1,Reading,Phonics & Decoding,Hard,What does the word 'book' mean?,Something you read with pages,bag,pen,cup,A,'book' means: Something you read with pages.
1,Reading,Phonics & Decoding,Easy,What does the word 'home' mean?,store,The place where you live,park,school,B,'home' means: The place where you live.
1,Reading,Phonics & Decoding,Medium,What does the word 'cat' mean?,A small furry animal that meows,bird,fish,dog,A,'cat' means: A small furry animal that meows.
1,Reading,Phonics & Decoding,Hard,What does the word 'sun' mean?,cloud,moon,rain,The star that gives us light and heat,D,'sun' means: The star that gives us light and heat.
1,Reading,Phonics & Decoding,Easy,What does the word 'run' mean?,eat,sleep,To move quickly on foot,walk,C,'run' means: To move quickly on foot.
1,Reading,Phonics & Decoding,Medium,What does the word 'big' mean?,short,small,Large in size,tiny,C,'big' means: Large in size.
1,Reading,Phonics & Decoding,Hard,What does the word 'happy' mean?,angry,Feeling glad or pleased,tired,sad,B,'happy' means: Feeling glad or pleased.
1,Reading,Phonics & Decoding,Easy,What does the word 'red' mean?,blue,yellow,A bright color like a fire truck,green,C,'red' means: A bright color like a fire truck.
1,Reading,Phonics & Decoding,Medium,What does the word 'hot' mean?,cool,Having a high temperature,cold,warm,B,'hot' means: Having a high temperature.
1,Reading,Phonics & Decoding,Hard,What does the word 'jump' mean?,sit,stand,lie,To spring off the ground,D,'jump' means: To spring off the ground.
1,Reading,Phonics & Decoding,Easy,What does the word 'book' mean?,Something you read with pages,cup,pen,bag,A,'book' means: Something you read with pages.
1,Reading,Phonics & Decoding,Medium,What does the word 'home' mean?,school,store,park,The place where you live,D,'home' means: The place where you live.
1,Reading,Phonics & Decoding,Hard,What does the word 'cat' mean?,A small furry animal that meows,fish,bird,dog,A,'cat' means: A small furry animal that meows.
1,Reading,Phonics & Decoding,Easy,What does the word 'sun' mean?,The star that gives us light and heat,rain,cloud,moon,A,'sun' means: The star that gives us light and heat.
1,Reading,Phonics & Decoding,Medium,What does the word 'run' mean?,walk,sleep,eat,To move quickly on foot,D,'run' means: To move quickly on foot.
1,Reading,Phonics & Decoding,Hard,What does the word 'big' mean?,small,tiny,Large in size,short,C,'big' means: Large in size.
1,Reading,Phonics & Decoding,Easy,What does the word 'happy' mean?,tired,sad,Feeling glad or pleased,angry,C,'happy' means: Feeling glad or pleased.
1,Reading,Phonics & Decoding,Medium,What does the word 'red' mean?,A bright color like a fire truck,blue,yellow,green,A,'red' means: A bright color like a fire truck.
1,Reading,Phonics & Decoding,Hard,What does the word 'hot' mean?,Having a high temperature,cool,cold,warm,A,'hot' means: Having a high temperature.
1,Reading,Phonics & Decoding,Easy,What does the word 'jump' mean?,stand,lie,To spring off the ground,sit,C,'jump' means: To spring off the ground.
1,Reading,Phonics & Decoding,Medium,What does the word 'book' mean?,pen,cup,Something you read with pages,bag,C,'book' means: Something you read with pages.
1,Reading,Phonics & Decoding,Hard,What does the word 'home' mean?,park,school,store,The place where you live,D,'home' means: The place where you live.
1,Reading,Phonics & Decoding,Easy,What does the word 'cat' mean?,bird,fish,dog,A small furry animal that meows,D,'cat' means: A small furry animal that meows.
1,Reading,Phonics & Decoding,Medium,What does the word 'sun' mean?,moon,The star that gives us light and heat,rain,cloud,B,'sun' means: The star that gives us light and heat.
1,Reading,Phonics & Decoding,Hard,What does the word 'run' mean?,sleep,walk,To move quickly on foot,eat,C,'run' means: To move quickly on foot.
1,Reading,Phonics & Decoding,Easy,What does the word 'big' mean?,small,short,Large in size,tiny,C,'big' means: Large in size.
1,Reading,Sight Words,Easy,What does the word 'cat' mean?,bird,fish,dog,A small furry animal that meows,D,'cat' means: A small furry animal that meows.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'The star that gives us light and heat'?,cloud,sun,moon,rain,B,The word that means 'The star that gives us light and heat' is 'sun'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very run in class,' what does 'run' most likely mean?",To move quickly on foot,walk,sleep,eat,A,'run' means To move quickly on foot.
1,Reading,Sight Words,Easy,What does the word 'big' mean?,small,tiny,Large in size,short,C,'big' means: Large in size.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'Feeling glad or pleased'?,angry,happy,tired,sad,B,The word that means 'Feeling glad or pleased' is 'happy'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very red in class,' what does 'red' most likely mean?",A bright color like a fire truck,blue,green,yellow,A,'red' means A bright color like a fire truck.
1,Reading,Sight Words,Easy,What does the word 'hot' mean?,Having a high temperature,cool,cold,warm,A,'hot' means: Having a high temperature.
1,Reading,Sight Words,Medium,Which word best fits this definition: 'To spring off the ground'?,stand,jump,lie,sit,B,The word that means 'To spring off the ground' is 'jump'.
1,Reading,Sight Words,Hard,"In the sentence 'The student was very book in class,' what does 'book' most likely mean?",Something you read with pages,pen,bag,cup,A,'book' means Something you read with pages.
